,ID,Name,Sex,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,age-height-weight,num_for_test
7672,4268,Ral Anganuzzi,M,Argentina,ARG,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's Foil, Team",Bronze,21.0*nan?nan,671.68
7697,4284,Alberto Angelini,M,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,Bronze,21.0(176.0?85.0,1927.02
7716,4297,Angel Angelov,M,Bulgaria,BUL,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Light-Welterweight,Silver,24.0:170.0?63.0,603.49
7733,4304,Stefan Georgiev Angelov,M,Bulgaria,BUL,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bronze,25.0?152.0?48.0,53.7
7734,4304,Stefan Georgiev Angelov,M,Bulgaria,BUL,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bronze,29.0*152.0?48.0,820.29
7735,4305,Yordan Angelov,M,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,Silver,26.0?196.0?86.0,527.98
7775,4320,Nadine Marejke Angerer,F,Germany,GER,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Bronze,29.0:174.0?70.0,1822.92
7778,4321,Peter Angerer,M,West Germany,FRG,1980 Winter,1980,Winter,Lake Placid,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze,20.0:178.0?73.0,1185.82
7779,4321,Peter Angerer,M,West Germany,FRG,1984 Winter,1984,Winter,Sarajevo,Biathlon,Biathlon Men's 10 kilometres Sprint,Silver,24.0(178.0?73.0,77.49
7780,4321,Peter Angerer,M,West Germany,FRG,1984 Winter,1984,Winter,Sarajevo,Biathlon,Biathlon Men's 20 kilometres,Gold,24.0?178.0?73.0,1168.34
7781,4321,Peter Angerer,M,West Germany,FRG,1984 Winter,1984,Winter,Sarajevo,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze,24.0(178.0?73.0,53.41
7784,4321,Peter Angerer,M,West Germany,FRG,1988 Winter,1988,Winter,Calgary,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Silver,28.0*178.0?73.0,1218.24
7788,4322,Tobias Angerer,M,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze,24.0:179.0?72.0,222.22
7789,4322,Tobias Angerer,M,Germany,GER,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Bronze,28.0:179.0?72.0,694.52
7792,4322,Tobias Angerer,M,Germany,GER,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver,28.0?179.0?72.0,1313.29
7795,4322,Tobias Angerer,M,Germany,GER,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,Silver,32.0*179.0?72.0,1087.67
7833,4335,Paolo Angioni,M,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold,26.0*177.0?64.0,1762.2
7841,4340,Kurt Steven Angle,M,United States,USA,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold,27.0*178.0?100.0,535.51
7842,4341,Giorgio Anglesio,M,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Men's epee, Team",Gold,34.0(nan?nan,1623.74
7854,4348,"Heinrich ""Heiri"" Angst",M,Switzerland-1,SUI,1956 Winter,1956,Winter,Cortina d'Ampezzo,Bobsleigh,Bobsleigh Men's Four,Gold,40.0?nan?nan,957.41
7855,4349,Max Angst,M,Switzerland-1,SUI,1956 Winter,1956,Winter,Cortina d'Ampezzo,Bobsleigh,Bobsleigh Men's Two,Bronze,34.0*nan?nan,84.74
7865,4356,Miguel ngel Angulo Valderrey,M,Spain,ESP,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,Silver,23.0*175.0?70.0,1295.25
7868,4359,va Angyal,F,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Handball,Handball Women's Handball,Bronze,21.0*163.0?63.0,1642.93
7889,4369,Victor Chinedu Anichebe,M,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Silver,20.0(192.0?94.0,1209.74
7894,4374,Yekaterina Yevgenyevna Anikeyeva,F,Russia,RUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Bronze,31.0:178.0?63.0,1371.46
7896,4375,Nikolay Petrovich Anikin,M,Soviet Union,URS,1956 Winter,1956,Winter,Cortina d'Ampezzo,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold,24.0:nan?nan,649.09
7898,4375,Nikolay Petrovich Anikin,M,Soviet Union,URS,1960 Winter,1960,Winter,Squaw Valley,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Bronze,28.0*nan?nan,863.32
7900,4375,Nikolay Petrovich Anikin,M,Soviet Union,URS,1960 Winter,1960,Winter,Squaw Valley,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze,28.0*nan?nan,1468.0
7923,4388,Nataliya Yuryevna Anisimova (Guskova-),F,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Handball,Handball Women's Handball,Bronze,27.0*174.0?70.0,1691.13
7924,4388,Nataliya Yuryevna Anisimova (Guskova-),F,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Handball,Handball Women's Handball,Bronze,31.0:174.0?70.0,1474.43
7927,4390,Tatyana Mikhaylovna Anisimova (Poluboyarova-),F,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 100 metres Hurdles,Silver,26.0*172.0?65.0,1128.92
7930,4391,Vera Vasilyevna Anisimova (Mikheyeva-),F,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze,24.0:167.0?52.0,1751.89
7932,4391,Vera Vasilyevna Anisimova (Mikheyeva-),F,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,28.0(167.0?52.0,1593.58
7933,4392,Marina Vyacheslavovna Anissina (-Dzhigurda),F,France-1,FRA,1998 Winter,1998,Winter,Nagano,Figure Skating,Figure Skating Mixed Ice Dancing,Bronze,22.0*162.0?52.0,78.0
7934,4392,Marina Vyacheslavovna Anissina (-Dzhigurda),F,France-1,FRA,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,Gold,26.0(162.0?52.0,319.58
7935,4393,Herta Anita,F,Romania,ROU,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Coxed Fours,Bronze,26.0(183.0?82.0,1434.46
7936,4393,Herta Anita,F,Romania,ROU,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Coxed Eights,Silver,26.0(183.0?82.0,1658.05
7948,4400,Hannelore Anke (-Hofmann),F,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 100 metres Breaststroke,Gold,18.0(160.0?52.0,1457.8
7950,4400,Hannelore Anke (-Hofmann),F,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,18.0(160.0?52.0,1865.28
7958,4403,Erik Anker,M,Norna,NOR,1928 Summer,1928,Summer,Amsterdam,Sailing,Sailing Mixed 6 metres,Gold,24.0(nan?nan,1865.21
7960,4404,Johan August Anker,M,Magda IX,NOR,1912 Summer,1912,Summer,Stockholm,Sailing,Sailing Mixed 12 metres,Gold,40.0?nan?nan,976.17
7961,4404,Johan August Anker,M,Norna,NOR,1928 Summer,1928,Summer,Amsterdam,Sailing,Sailing Mixed 6 metres,Gold,56.0(nan?nan,699.5
7962,4405,Jan Geert Ankerman,M,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Hockey,Hockey Men's Hockey,Silver,22.0:nan?nan,314.38
7968,4410,Andrija Ankovi,M,Yugoslavia,YUG,1960 Summer,1960,Summer,Roma,Football,Football Men's Football,Gold,23.0?177.0?79.0,1881.56
7980,4418,Alyson Regina Annan,F,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,Gold,23.0?162.0?65.0,448.51
7981,4418,Alyson Regina Annan,F,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold,27.0:162.0?65.0,224.62
7987,4423,Martin Annen,M,Switzerland-2,SUI,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Two,Bronze,27.0:181.0?98.0,1251.39
7989,4423,Martin Annen,M,Switzerland-1,SUI,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Two,Bronze,31.0?181.0?98.0,1657.52
7990,4423,Martin Annen,M,Switzerland-1,SUI,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,Bronze,31.0:181.0?98.0,1879.54
8002,4432,Harold Edward Annison,M,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,24.0:183.0?nan,1626.18
8014,4435,Noriko Anno,F,Japan,JPN,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Half-Heavyweight,Gold,28.0?162.0?76.0,704.63
8015,4436,Pietro Annoni,M,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Rowing,Rowing Men's Double Sculls,Silver,33.0*nan?nan,859.91
8037,4447,Roman Sergeyevich Anoshkin,M,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze,28.0?192.0?95.0,887.6
8040,4449,Sajjad Anoushiravani Hamlabad,M,Iran,IRI,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Super-Heavyweight,Silver,28.0(192.0?105.0,1597.46
8041,4450,Aleksandre Anp'ilogovi,M,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Handball,Handball Men's Handball,Gold,22.0?203.0?96.0,533.64
8042,4450,Aleksandre Anp'ilogovi,M,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Handball,Handball Men's Handball,Silver,26.0*203.0?96.0,1206.14
8047,4452,Jacques Anquetil,M,France,FRA,1952 Summer,1952,Summer,Helsinki,Cycling,"Cycling Men's Road Race, Team",Bronze,18.0?nan?nan,163.71
8057,4457,Daniela Anschtz-Thoms,F,Germany,GER,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Gold,31.0?165.0?60.0,309.01
8061,4457,Daniela Anschtz-Thoms,F,Germany,GER,2010 Winter,2010,Winter,Vancouver,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Gold,35.0:165.0?60.0,2000.69
8065,4460,Renato Anselmi,M,Italy,ITA,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Sabre, Team",Gold,32.0:165.0?nan,1469.7
8066,4460,Renato Anselmi,M,Italy,ITA,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's Sabre, Team",Silver,36.0(165.0?nan,350.04
8067,4460,Renato Anselmi,M,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Men's Sabre, Team",Silver,40.0(165.0?nan,892.75
8071,4462,Michel Ansermet,M,Switzerland,SUI,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver,35.0(178.0?72.0,969.99
8079,4466,Giselle Anne Ansley,F,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Gold,24.0?176.0?73.0,1656.56
8087,4471,Henri Lucien Ernest Eugne Anspach,M,Belgium,BEL,1912 Summer,1912,Summer,Stockholm,Fencing,"Fencing Men's epee, Team",Gold,29.0(nan?nan,1827.29
8090,4472,Paul Eugne Albert Anspach,M,Belgium,BEL,1908 Summer,1908,Summer,London,Fencing,"Fencing Men's epee, Team",Bronze,26.0(nan?nan,1711.44
8093,4472,Paul Eugne Albert Anspach,M,Belgium,BEL,1912 Summer,1912,Summer,Stockholm,Fencing,"Fencing Men's epee, Individual",Gold,30.0*nan?nan,902.02
8094,4472,Paul Eugne Albert Anspach,M,Belgium,BEL,1912 Summer,1912,Summer,Stockholm,Fencing,"Fencing Men's epee, Team",Gold,30.0(nan?nan,30.74
8095,4472,Paul Eugne Albert Anspach,M,Belgium,BEL,1920 Summer,1920,Summer,Antwerpen,Fencing,"Fencing Men's epee, Team",Silver,38.0*nan?nan,1658.35
8097,4472,Paul Eugne Albert Anspach,M,Belgium,BEL,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's epee, Team",Silver,42.0(nan?nan,1912.45
8105,4478,Dana Antal,F,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,24.0*170.0?64.0,85.55
8113,4484,Rbert Antal (Adler),M,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Water Polo,Water Polo Men's Water Polo,Gold,30.0*nan?nan,33.77
8131,4487,Mrta Antal-Rudas,F,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's Javelin Throw,Silver,27.0?164.0?66.0,1137.05
8142,4491,Zdzisaw Antczak,M,Poland,POL,1976 Summer,1976,Summer,Montreal,Handball,Handball Men's Handball,Bronze,28.0(188.0?82.0,1230.53
8161,4503,Dborah Jessica Anthonioz,F,France,FRA,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Women's Boardercross,Silver,31.0:165.0?52.0,1373.43
8164,4505,Carmelo Kyan Anthony,M,United States,USA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball,Bronze,20.0(203.0?109.0,1903.58
8165,4505,Carmelo Kyan Anthony,M,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold,24.0:203.0?109.0,1762.27
8166,4505,Carmelo Kyan Anthony,M,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Gold,28.0(203.0?109.0,835.3
8167,4505,Carmelo Kyan Anthony,M,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold,32.0?203.0?109.0,310.09
8170,4508,Georges Anthony,M,Belgium,BEL,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxed Pairs,Bronze,nan*nan?nan,90.77
8177,4512,Michael Anthony Parris,M,Guyana,GUY,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Bantamweight,Bronze,22.0*173.0?54.0,774.93
8182,4515,"Michael E. ""Mike"" Anti",M,United States,USA,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver,40.0:173.0?73.0,1971.33
8189,4517,Salvatore Antibo,M,Italy,ITA,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 10,000 metres",Silver,26.0*170.0?52.0,1285.77
8192,4518,"Joseph Anthony ""Joe"" Antic",M,India,IND,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Silver,29.0?168.0?59.0,82.31
8193,4519,Sava Anti,M,Yugoslavia,YUG,1956 Summer,1956,Summer,Melbourne,Football,Football Men's Football,Silver,26.0?nan?nan,367.99
8219,4531,Aleksy Antkiewicz,M,Poland,POL,1948 Summer,1948,Summer,London,Boxing,Boxing Men's Featherweight,Bronze,24.0?nan?nan,1328.15
8220,4531,Aleksy Antkiewicz,M,Poland,POL,1952 Summer,1952,Summer,Helsinki,Boxing,Boxing Men's Lightweight,Silver,28.0:nan?nan,1302.92
8232,4538,"Matthew ""Matt"" Antoine",M,United States,USA,2014 Winter,2014,Winter,Sochi,Skeleton,Skeleton Men's Skeleton,Bronze,28.0:190.0?84.0,1930.08
8271,4561,Peter Thomas Antonie,M,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Double Sculls,Gold,34.0(183.0?82.0,362.85
8276,4563,Micha Antoniewicz (-Woysym),M,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Jumping, Team",Silver,30.0*nan?nan,820.91
8278,4563,Micha Antoniewicz (-Woysym),M,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze,30.0?nan?nan,1780.72
8280,4564,Edvard Antonijevi,M,Yugoslavia,YUG,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Team All-Around,Bronze,25.0(nan?nan,1493.25
8291,4568,Michele Antonioli,M,Italy,ITA,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Silver,25.0*171.0?69.0,1200.79
8292,4569,Mariela Andrea Antoniska Arrondo,F,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Silver,25.0?170.0?70.0,1179.98
8293,4569,Mariela Andrea Antoniska Arrondo,F,Argentina,ARG,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Bronze,29.0*170.0?70.0,967.02
8300,4575,Oleg Antonov,M,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Silver,28.0*198.0?88.0,1268.81
8303,4577,Semyon Sergeyevich Antonov,M,Russia,RUS,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Bronze,23.0?202.0?97.0,185.46
8307,4579,Vladislav Nikolayevich Antonov,M,Russia,RUS,2014 Winter,2014,Winter,Sochi,Luge,Luge Mixed Team Relay,Silver,22.0(179.0?80.0,1020.21
8309,4581,Yaroslav Viktorovich Antonov,M,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Men's Volleyball,Silver,25.0:198.0?95.0,430.27
8316,4585,Olena Anatolivna Antonova,F,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Discus Throw,Bronze,36.0:180.0?95.0,713.52
8318,4587,Yelena Petrovna Antonova,F,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Single Sculls,Bronze,23.0*180.0?78.0,640.58
8323,4590,Hans Bertil Augustin Antonsson,M,Sweden,SWE,1948 Summer,1948,Summer,London,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver,27.0*187.0?100.0,638.64
8324,4590,Hans Bertil Augustin Antonsson,M,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver,30.0?187.0?100.0,570.66
8327,4591,Hans Yngve Antonsson,M,Sweden,SWE,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze,25.0:179.0?79.0,1882.02
8354,4602,Oegs Antropovs,M,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Men's Volleyball,Gold,20.0(193.0?83.0,1145.34
8356,4604,Ants Antson,M,Soviet Union,URS,1964 Winter,1964,Winter,Innsbruck,Speed Skating,"Speed Skating Men's 1,500 metres",Gold,25.0:184.0?84.0,1295.38
8368,4607,"Kaarlo Johan Jalmari ""Kalle"" Anttila",M,Finland,FIN,1920 Summer,1920,Summer,Antwerpen,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold,32.0*167.0?64.0,1047.72
8369,4607,"Kaarlo Johan Jalmari ""Kalle"" Anttila",M,Finland,FIN,1924 Summer,1924,Summer,Paris,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold,36.0?167.0?64.0,1285.98
8380,4613,Nataliya Nikolayevna Antyukh,F,Russia,RUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 400 metres,Bronze,23.0(182.0?69.0,984.84
8381,4613,Nataliya Nikolayevna Antyukh,F,Russia,RUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Silver,23.0?182.0?69.0,1533.87
8382,4613,Nataliya Nikolayevna Antyukh,F,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 400 metres Hurdles,Gold,31.0?182.0?69.0,1639.37
8383,4613,Nataliya Nikolayevna Antyukh,F,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,Silver,31.0?182.0?69.0,1676.78
8395,4617,Aleksandr Aleksandrovich Anufriyev,M,Soviet Union,URS,1952 Summer,1952,Summer,Helsinki,Athletics,"Athletics Men's 10,000 metres",Bronze,26.0:167.0?63.0,1639.44
8406,4626,Saeed Anwar,M,Pakistan,PAK,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Silver,20.0:170.0?71.0,214.01
8407,4626,Saeed Anwar,M,Pakistan,PAK,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Gold,24.0:170.0?71.0,1009.12
8408,4626,Saeed Anwar,M,Pakistan,PAK,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,Silver,28.0?170.0?71.0,1284.38
8429,4644,Seiji Aochi,M,Japan,JPN,1972 Winter,1972,Winter,Sapporo,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Bronze,29.0(167.0?66.0,483.12
8449,4651,Mayumi Aoki (-Nishiguti),F,Japan,JPN,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 100 metres Butterfly,Gold,19.0(164.0?63.0,1899.31
8475,4667,Sad Aouita,M,Morocco,MAR,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 5,000 metres",Gold,24.0*175.0?58.0,1302.63
8476,4667,Sad Aouita,M,Morocco,MAR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 800 metres,Bronze,28.0:175.0?58.0,1196.53
8491,4674,Eref Apak,M,Turkey,TUR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Hammer Throw,Bronze,22.0(184.0?120.0,50.5
8495,4675,Nikolay Sergeyevich Apalikov,M,Russia,RUS,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Gold,29.0:203.0?105.0,1908.52
8496,4676,Onyekachi Apam,M,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Silver,21.0?180.0?79.0,1638.56
8497,4677,Dmitry Borisovich Apanasenko,M,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Water Polo,Water Polo Men's Water Polo,Bronze,21.0(192.0?86.0,388.55
8498,4677,Dmitry Borisovich Apanasenko,M,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Water Polo,Water Polo Men's Water Polo,Bronze,25.0?192.0?86.0,1903.31
8516,4685,Katrin Apel,F,Germany,GER,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Women's 7.5 kilometres Sprint,Bronze,24.0*172.0?62.0,1341.52
8517,4685,Katrin Apel,F,Germany,GER,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Gold,24.0?172.0?62.0,176.4
8521,4685,Katrin Apel,F,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Gold,28.0(172.0?62.0,473.51
8524,4685,Katrin Apel,F,Germany,GER,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Silver,32.0(172.0?62.0,120.37
8525,4686,Knut Tore Apeland,M,Norway,NOR,1992 Winter,1992,Winter,Albertville,Nordic Combined,Nordic Combined Men's Team,Silver,23.0:174.0?67.0,7.18
8527,4686,Knut Tore Apeland,M,Norway,NOR,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Team,Silver,25.0:174.0?67.0,1311.91
8530,4688,"Hermann ""Armand"" Apell",M,France,FRA,1928 Summer,1928,Summer,Amsterdam,Boxing,Boxing Men's Flyweight,Silver,23.0(nan?50.0,1611.46
8546,4700,Angelica Aposteanu (Chertic-),F,Romania,ROU,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Eights,Bronze,25.0(175.0?67.0,1127.11
8547,4701,Chira Irina Apostol (-Stoian),F,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Fours,Gold,24.0(180.0?78.0,774.02
8573,4710,Stoyan Ivanov Apostolov,M,Bulgaria,BUL,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver,26.0?170.0?69.0,358.2
8588,4717,"Gabriele Marion ""Gaby"" Appel (-Reimann)",F,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Women's Hockey,Silver,26.0?154.0?49.0,264.34
8596,4720,Tessa Appeldoorn,F,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Coxed Eights,Silver,27.0(177.0?71.0,1628.58
8605,4724,Emilia Elisabeth Appelqvist,F,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Silver,26.0(168.0?65.0,1106.21
8613,4728,Ingo Appelt,M,Austria-1,AUT,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Four,Gold,30.0:182.0?86.0,658.37
8626,4736,"William Reuben ""Willie"" Applegarth",M,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 200 metres,Bronze,21.0*170.0?59.0,676.85
8627,4736,"William Reuben ""Willie"" Applegarth",M,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,21.0?170.0?59.0,1159.98
8628,4737,Lloyd Otto Appleton,M,United States,USA,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver,22.0(nan?nan,1140.74
8634,4742,Gillian Mary Apps,F,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,22.0*180.0?80.0,1827.56
8635,4742,Gillian Mary Apps,F,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,26.0?180.0?80.0,447.6
8636,4742,Gillian Mary Apps,F,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,30.0:180.0?80.0,1518.74
8652,4750,Vladimer Aptsiauri,M,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Foil, Team",Gold,26.0*170.0?72.0,1695.05
8661,4757,Javier Ignacio Aquino Carmona,M,Mexico,MEX,2012 Summer,2012,Summer,London,Football,Football Men's Football,Gold,22.0(165.0?62.0,1356.46
8668,4763,Reyhan Arabacolu,M,Turkey,TUR,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middleweight,Bronze,21.0*170.0?77.0,543.8
8674,4766,Claude Henri Ferdinand Dalmas Arabo,M,France,FRA,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's Sabre, Individual",Silver,27.0:178.0?73.0,1958.8
8678,4767,Patricio Arabolaza Aramburu,M,Spain,ESP,1920 Summer,1920,Summer,Antwerpen,Football,Football Men's Football,Silver,27.0(nan?nan,185.4
8686,4771,Yael Arad,F,Israel,ISR,1992 Summer,1992,Summer,Barcelona,Judo,Judo Women's Half-Middleweight,Silver,25.0?nan?nan,1189.46
